LoRA Rank,overall_acc_mean,overall_acc_std,overall_acc_count,ordering_acc_mean,arithmetic_acc_mean,classification_acc_mean,disruption_mean,disruption_std,boundary_acc_mean
0,0.7625,,1,0.99,0.31,0.93,0.0,0.0,0.82
8,0.675,,1,0.99,0.27,0.89,0.0875,,0.55
12,0.675,,1,0.99,0.29,0.87,0.0875,,0.55
16,0.67,,1,0.99,0.26,0.88,0.0925,,0.55
24,0.6825,,1,0.99,0.29,0.89,0.08,,0.56
32,0.685,,1,0.99,0.28,0.88,0.0775,,0.59
48,0.6775,,1,0.99,0.27,0.88,0.085,,0.57
64,0.6725,,1,0.99,0.29,0.84,0.09,,0.57
96,0.675,,1,0.99,0.29,0.83,0.0875,,0.59
128,0.665,,1,0.99,0.3,0.81,0.0975,,0.56
